wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: ewijaya to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run b0cep5x7
wandb: Tracking run with wandb version 0.25.0
wandb: Run data is saved locally in /home/ubuntu/storage1/recursive-mol/src/wandb/run-20260311_093000-b0cep5x7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run protein-d6-ReluSquared
wandb: ⭐️ View project at https://wandb.ai/ewijaya/recursive-mol
wandb: 🚀 View run at https://wandb.ai/ewijaya/recursive-mol/runs/b0cep5x7
Track: protein
Vocab size: 24
Model config: {'sequence_len': 512, 'vocab_size': 24, 'n_layer': 6, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 320, 'window_pattern': 'SSSL', 'activation': 'ReluSquared', 'ffn_mult': 5, 'use_value_embeds': True, 'tie_embed_weights': False}
Parameter counts:
  wte                     : 7,680
  value_embeds            : 23,040
  lm_head                 : 7,680
  transformer_matrices    : 8,602,080
  scalars                 : 12
  total                   : 8,640,492
Estimated FLOPs per token: 5.952288e+07
Scaling AdamW LRs by 1/sqrt(320/768) = 1.549193
Time budget: 300s
Max epochs: 10
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 3.177444 | lrm: 1.00 | dt: 3007ms | tok/sec: 21,792 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00570 (25.3%) | loss: 2.780825 | lrm: 1.00 | dt: 136ms | tok/sec: 482,190 | mfu: 23.0% | epoch: 2 | remaining: 224s    
step 00571 (25.4%) | loss: 2.780708 | lrm: 1.00 | dt: 136ms | tok/sec: 482,836 | mfu: 23.0% | epoch: 2 | remaining: 224s    
step 00572 (25.4%) | loss: 2.780833 | lrm: 1.00 | dt: 136ms | tok/sec: 482,053 | mfu: 23.0% | epoch: 2 | remaining: 224s    
step 00573 (25.5%) | loss: 2.781261 | lrm: 1.00 | dt: 136ms | tok/sec: 482,568 | mfu: 23.0% | epoch: 2 | remaining: 224s    
step 00574 (25.5%) | loss: 2.782076 | lrm: 1.00 | dt: 136ms | tok/sec: 482,148 | mfu: 23.0% | epoch: 2 | remaining: 223s    
step 00575 (25.5%) | loss: 2.779067 | lrm: 1.00 | dt: 136ms | tok/sec: 482,637 | mfu: 23.0% | epoch: 2 | remaining: 223s    
step 00576 (25.6%) | loss: 2.779031 | lrm: 1.00 | dt: 136ms | tok/sec: 482,328 | mfu: 23.0% | epoch: 2 | remaining: 223s    
step 00577 (25.6%) | loss: 2.779496 | lrm: 1.00 | dt: 136ms | tok/sec: 482,348 | mfu: 23.0% | epoch: 2 | remaining: 223s    
step 00578 (25.7%) | loss: 2.780052 | lrm: 1.00 | dt: 136ms | tok/sec: 482,143 | mfu: 23.0% | epoch: 2 | remaining: 223s    
step 00579 (25.7%) | loss: 2.780029 | lrm: 1.00 | dt: 136ms | tok/sec: 482,901 | mfu: 23.0% | epoch: 2 | remaining: 223s    
step 00580 (25.8%) | loss: 2.780874 | lrm: 1.00 | dt: 136ms | tok/sec: 482,539 | mfu: 23.0% | epoch: 2 | remaining: 223s    
step 00581 (25.8%) | loss: 2.781794 | lrm: 1.00 | dt: 136ms | tok/sec: 482,639 | mfu: 23.0% | epoch: 2 | remaining: 222s    
step 00582 (25.9%) | loss: 2.778949 | lrm: 1.00 | dt: 136ms | tok/sec: 482,131 | mfu: 23.0% | epoch: 2 | remaining: 222s    
step 00583 (25.9%) | loss: 2.778458 | lrm: 1.00 | dt: 136ms | tok/sec: 482,877 | mfu: 23.0% | epoch: 2 | remaining: 222s    
step 00584 (25.9%) | loss: 2.778132 | lrm: 1.00 | dt: 136ms | tok/sec: 482,314 | mfu: 23.0% | epoch: 2 | remaining: 222s    
step 00585 (26.0%) | loss: 2.775711 | lrm: 1.00 | dt: 136ms | tok/sec: 482,440 | mfu: 23.0% | epoch: 2 | remaining: 222s    
step 00586 (26.0%) | loss: 2.775857 | lrm: 1.00 | dt: 136ms | tok/sec: 482,252 | mfu: 23.0% | epoch: 2 | remaining: 222s    
step 00587 (26.1%) | loss: 2.773853 | lrm: 1.00 | dt: 136ms | tok/sec: 482,696 | mfu: 23.0% | epoch: 2 | remaining: 222s    
step 00588 (26.1%) | loss: 2.776542 | lrm: 1.00 | dt: 136ms | tok/sec: 482,126 | mfu: 23.0% | epoch: 2 | remaining: 221s    
step 00589 (26.2%) | loss: 2.777681 | lrm: 1.00 | dt: 136ms | tok/sec: 482,648 | mfu: 23.0% | epoch: 2 | remaining: 221s    
step 00590 (26.2%) | loss: 2.779171 | lrm: 1.00 | dt: 136ms | tok/sec: 482,197 | mfu: 23.0% | epoch: 2 | remaining: 221s    
step 00591 (26.3%) | loss: 2.779129 | lrm: 1.00 | dt: 136ms | tok/sec: 482,831 | mfu: 23.0% | epoch: 2 | remaining: 221s    
step 00592 (26.3%) | loss: 2.780298 | lrm: 1.00 | dt: 136ms | tok/sec: 482,101 | mfu: 23.0% | epoch: 2 | remaining: 221s    
step 00593 (26.4%) | loss: 2.779366 | lrm: 1.00 | dt: 136ms | tok/sec: 482,510 | mfu: 23.0% | epoch: 2 | remaining: 221s    
step 00594 (26.4%) | loss: 2.781379 | lrm: 1.00 | dt: 136ms | tok/sec: 482,551 | mfu: 23.0% | epoch: 2 | remaining: 221s    
step 00595 (26.4%) | loss: 2.783413 | lrm: 1.00 | dt: 136ms | tok/sec: 482,978 | mfu: 23.0% | epoch: 2 | remaining: 221s    
step 00596 (26.5%) | loss: 2.783724 | lrm: 1.00 | dt: 136ms | tok/sec: 481,842 | mfu: 22.9% | epoch: 2 | remaining: 220s    
step 00597 (26.5%) | loss: 2.781549 | lrm: 1.00 | dt: 136ms | tok/sec: 482,788 | mfu: 23.0% | epoch: 2 | remaining: 220s    
step 00598 (26.6%) | loss: 2.783231 | lrm: 1.00 | dt: 136ms | tok/sec: 482,159 | mfu: 23.0% | epoch: 2 | remaining: 220s    
step 00599 (26.6%) | loss: 2.782567 | lrm: 1.00 | dt: 136ms | tok/sec: 482,712 | mfu: 23.0% | epoch: 2 | remaining: 220s    
step 00600 (26.7%) | loss: 2.780784 | lrm: 1.00 | dt: 136ms | tok/sec: 482,126 | mfu: 23.0% | epoch: 2 | remaining: 220s    
step 00601 (26.7%) | loss: 2.781017 | lrm: 1.00 | dt: 136ms | tok/sec: 482,742 | mfu: 23.0% | epoch: 2 | remaining: 220s    
step 00602 (26.8%) | loss: 2.781017 | lrm: 1.00 | dt: 136ms | tok/sec: 482,321 | mfu: 23.0% | epoch: 2 | remaining: 220s    
step 00603 (26.8%) | loss: 2.781229 | lrm: 1.00 | dt: 136ms | tok/sec: 482,629 | mfu: 23.0% | epoch: 2 | remaining: 219s    
step 00604 (26.9%) | loss: 2.781686 | lrm: 1.00 | dt: 136ms | tok/sec: 482,091 | mfu: 23.0% | epoch: 2 | remaining: 219s    
step 00605 (26.9%) | loss: 2.781860 | lrm: 1.00 | dt: 136ms | tok/sec: 482,615 | mfu: 23.0% | epoch: 2 | remaining: 219s    
step 00606 (26.9%) | loss: 2.781725 | lrm: 1.00 | dt: 136ms | tok/sec: 482,063 | mfu: 23.0% | epoch: 2 | remaining: 219s    
step 00607 (27.0%) | loss: 2.780900 | lrm: 1.00 | dt: 136ms | tok/sec: 482,654 | mfu: 23.0% | epoch: 2 | remaining: 219s    
step 00608 (27.0%) | loss: 2.781201 | lrm: 1.00 | dt: 136ms | tok/sec: 482,034 | mfu: 23.0% | epoch: 2 | remaining: 219s    
step 00609 (27.1%) | loss: 2.779142 | lrm: 1.00 | dt: 136ms | tok/sec: 482,403 | mfu: 23.0% | epoch: 2 | remaining: 219s    
step 00610 (27.1%) | loss: 2.780846 | lrm: 1.00 | dt: 136ms | tok/sec: 481,988 | mfu: 23.0% | epoch: 2 | remaining: 218s    
step 00611 (27.2%) | loss: 2.781226 | lrm: 1.00 | dt: 136ms | tok/sec: 482,586 | mfu: 23.0% | epoch: 2 | remaining: 218s    
step 00612 (27.2%) | loss: 2.782472 | lrm: 1.00 | dt: 136ms | tok/sec: 482,006 | mfu: 23.0% | epoch: 2 | remaining: 218s    
step 00613 (27.3%) | loss: 2.783128 | lrm: 1.00 | dt: 136ms | tok/sec: 482,834 | mfu: 23.0% | epoch: 2 | remaining: 218s    
step 00614 (27.3%) | loss: 2.782476 | lrm: 1.00 | dt: 136ms | tok/sec: 482,540 | mfu: 23.0% | epoch: 2 | remaining: 218s    
step 00615 (27.4%) | loss: 2.781916 | lrm: 1.00 | dt: 137ms | tok/sec: 479,580 | mfu: 22.8% | epoch: 2 | remaining: 218s    
step 00616 (27.4%) | loss: 2.781434 | lrm: 1.00 | dt: 136ms | tok/sec: 482,050 | mfu: 23.0% | epoch: 2 | remaining: 218s    
step 00617 (27.4%) | loss: 2.779563 | lrm: 1.00 | dt: 136ms | tok/sec: 482,947 | mfu: 23.0% | epoch: 2 | remaining: 218s    
step 00618 (27.5%) | loss: 2.781868 | lrm: 1.00 | dt: 136ms | tok/sec: 482,027 | mfu: 23.0% | epoch: 2 | remaining: 217s    
step 00619 (27.5%) | loss: 2.782481 | lrm: 1.00 | dt: 136ms | tok/sec: 482,912 | mfu: 23.0% | epoch: 2 | remaining: 217s    
step 00620 (27.6%) | loss: 2.782588 | lrm: 1.00 | dt: 136ms | tok/sec: 482,318 | mfu: 23.0% | epoch: 2 | remaining: 217s    
step 00621 (27.6%) | loss: 2.782895 | lrm: 1.00 | dt: 136ms | tok/sec: 482,667 | mfu: 23.0% | epoch: 2 | remaining: 217s    
step 00622 (27.7%) | loss: 2.780843 | lrm: 1.00 | dt: 136ms | tok/sec: 482,165 | mfu: 23.0% | epoch: 2 | remaining: 217s    
step 00623 (27.7%) | loss: 2.780125 | lrm: 1.00 | dt: 136ms | tok/sec: 482,747 | mfu: 23.0% | epoch: 2 | remaining: 217s    
step 00624 (27.8%) | loss: 2.777520 | lrm: 1.00 | dt: 136ms | tok/sec: 482,007 | mfu: 23.0% | epoch: 2 | remaining: 217s    
step 00625 (27.8%) | loss: 2.776140 | lrm: 1.00 | dt: 136ms | tok/sec: 482,813 | mfu: 23.0% | epoch: 2 | remaining: 216s    
step 00626 (27.9%) | loss: 2.776380 | lrm: 1.00 | dt: 136ms | tok/sec: 482,217 | mfu: 23.0% | epoch: 2 | remaining: 216s    
step 00627 (27.9%) | loss: 2.775959 | lrm: 1.00 | dt: 136ms | tok/sec: 482,698 | mfu: 23.0% | epoch: 2 | remaining: 216s    
step 00628 (27.9%) | loss: 2.774620 | lrm: 1.00 | dt: 136ms | tok/sec: 482,033 | mfu: 23.0% | epoch: 2 | remaining: 216s    
step 00629 (28.0%) | loss: 2.774464 | lrm: 1.00 | dt: 136ms | tok/sec: 482,732 | mfu: 23.0% | epoch: 2 | remaining: 216s    
step 00630 (28.0%) | loss: 2.777093 | lrm: 1.00 | dt: 136ms | tok/sec: 482,364 | mfu: 23.0% | epoch: 2 | remaining: 216s    
step 00631 (28.1%) | loss: 2.776332 | lrm: 1.00 | dt: 136ms | tok/sec: 482,416 | mfu: 23.0% | epoch: 2 | remaining: 216s    
step 00632 (28.1%) | loss: 2.775789 | lrm: 1.00 | dt: 136ms | tok/sec: 482,143 | mfu: 23.0% | epoch: 2 | remaining: 215s    
step 00633 (28.2%) | loss: 2.777634 | lrm: 1.00 | dt: 136ms | tok/sec: 482,508 | mfu: 23.0% | epoch: 2 | remaining: 215s    
step 00634 (28.2%) | loss: 2.776898 | lrm: 1.00 | dt: 136ms | tok/sec: 481,925 | mfu: 22.9% | epoch: 2 | remaining: 215s    
step 00635 (28.3%) | loss: 2.775452 | lrm: 1.00 | dt: 136ms | tok/sec: 482,620 | mfu: 23.0% | epoch: 2 | remaining: 215s    
step 00636 (28.3%) | loss: 2.776047 | lrm: 1.00 | dt: 136ms | tok/sec: 481,960 | mfu: 23.0% | epoch: 2 | remaining: 215s    
step 00637 (28.3%) | loss: 2.776123 | lrm: 1.00 | dt: 136ms | tok/sec: 482,387 | mfu: 23.0% | epoch: 2 | remaining: 215s    
step 00638 (28.4%) | loss: 2.775331 | lrm: 1.00 | dt: 136ms | tok/sec: 482,538 | mfu: 23.0% | epoch: 2 | remaining: 215s    
step 00639 (28.4%) | loss: 2.774727 | lrm: 1.00 | dt: 136ms | tok/sec: 482,601 | mfu: 23.0% | epoch: 2 | remaining: 215s    
step 00640 (28.5%) | loss: 2.775006 | lrm: 1.00 | dt: 136ms | tok/sec: 482,228 | mfu: 23.0% | epoch: 2 | remaining: 214s    
step 00641 (28.5%) | loss: 2.775929 | lrm: 1.00 | dt: 136ms | tok/sec: 482,675 | mfu: 23.0% | epoch: 2 | remaining: 214s    
step 00642 (28.6%) | loss: 2.776354 | lrm: 1.00 | dt: 136ms | tok/sec: 481,930 | mfu: 22.9% | epoch: 2 | remaining: 214s    
step 00643 (28.6%) | loss: 2.775367 | lrm: 1.00 | dt: 136ms | tok/sec: 482,968 | mfu: 23.0% | epoch: 2 | remaining: 214s    
step 00644 (28.7%) | loss: 2.776435 | lrm: 1.00 | dt: 136ms | tok/sec: 482,346 | mfu: 23.0% | epoch: 2 | remaining: 214s    
step 00645 (28.7%) | loss: 2.776658 | lrm: 1.00 | dt: 136ms | tok/sec: 482,656 | mfu: 23.0% | epoch: 2 | remaining: 214s    
step 00646 (28.8%) | loss: 2.778656 | lrm: 1.00 | dt: 136ms | tok/sec: 482,276 | mfu: 23.0% | epoch: 2 | remaining: 214s    
step 00647 (28.8%) | loss: 2.778070 | lrm: 1.00 | dt: 136ms | tok/sec: 482,590 | mfu: 23.0% | epoch: 2 | remaining: 213s    
step 00648 (28.8%) | loss: 2.780235 | lrm: 1.00 | dt: 136ms | tok/sec: 482,161 | mfu: 23.0% | epoch: 2 | remaining: 213s    
step 00649 (28.9%) | loss: 2.780254 | lrm: 1.00 | dt: 136ms | tok/sec: 482,520 | mfu: 23.0% | epoch: 2 | remaining: 213s    
step 00650 (28.9%) | loss: 2.782147 | lrm: 1.00 | dt: 136ms | tok/sec: 481,923 | mfu: 22.9% | epoch: 2 | remaining: 213s    
step 00651 (29.0%) | loss: 2.781650 | lrm: 1.00 | dt: 136ms | tok/sec: 482,426 | mfu: 23.0% | epoch: 2 | remaining: 213s    
step 00652 (29.0%) | loss: 2.779790 | lrm: 1.00 | dt: 136ms | tok/sec: 482,073 | mfu: 23.0% | epoch: 2 | remaining: 213s    
step 00653 (29.1%) | loss: 2.777076 | lrm: 1.00 | dt: 136ms | tok/sec: 482,728 | mfu: 23.0% | epoch: 2 | remaining: 213s    
step 00654 (29.1%) | loss: 2.777266 | lrm: 1.00 | dt: 136ms | tok/sec: 481,793 | mfu: 22.9% | epoch: 2 | remaining: 213s    
step 00655 (29.2%) | loss: 2.779725 | lrm: 1.00 | dt: 136ms | tok/sec: 482,704 | mfu: 23.0% | epoch: 2 | remaining: 212s    
step 00656 (29.2%) | loss: 2.781314 | lrm: 1.00 | dt: 136ms | tok/sec: 482,015 | mfu: 23.0% | epoch: 2 | remaining: 212s    
step 00657 (29.3%) | loss: 2.781808 | lrm: 1.00 | dt: 136ms | tok/sec: 482,412 | mfu: 23.0% | epoch: 2 | remaining: 212s    
step 00658 (29.3%) | loss: 2.781047 | lrm: 1.00 | dt: 136ms | tok/sec: 482,229 | mfu: 23.0% | epoch: 2 | remaining: 212s    
step 00659 (29.3%) | loss: 2.780707 | lrm: 1.00 | dt: 136ms | tok/sec: 482,767 | mfu: 23.0% | epoch: 2 | remaining: 212s    
step 00660 (29.4%) | loss: 2.781164 | lrm: 1.00 | dt: 136ms | tok/sec: 482,275 | mfu: 23.0% | epoch: 2 | remaining: 212s    
step 00661 (29.4%) | loss: 2.779619 | lrm: 1.00 | dt: 136ms | tok/sec: 482,467 | mfu: 23.0% | epoch: 2 | remaining: 212s    
step 00662 (29.5%) | loss: 2.779222 | lrm: 1.00 | dt: 136ms | tok/sec: 482,353 | mfu: 23.0% | epoch: 2 | remaining: 211s    
step 00663 (29.5%) | loss: 2.777350 | lrm: 1.00 | dt: 136ms | tok/sec: 482,597 | mfu: 23.0% | epoch: 2 | remaining: 211s    
step 00664 (29.6%) | loss: 2.776357 | lrm: 1.00 | dt: 136ms | tok/sec: 481,947 | mfu: 22.9% | epoch: 2 | remaining: 211s    
step 00665 (29.6%) | loss: 2.776571 | lrm: 1.00 | dt: 136ms | tok/sec: 482,656 | mfu: 23.0% | epoch: 2 | remaining: 211s    
step 00666 (29.7%) | loss: 2.774978 | lrm: 1.00 | dt: 136ms | tok/sec: 482,189 | mfu: 23.0% | epoch: 2 | remaining: 211s    
step 00667 (29.7%) | loss: 2.776628 | lrm: 1.00 | dt: 136ms | tok/sec: 482,587 | mfu: 23.0% | epoch: 2 | remaining: 211s    
step 00668 (29.8%) | loss: 2.777910 | lrm: 1.00 | dt: 136ms | tok/sec: 482,327 | mfu: 23.0% | epoch: 2 | remaining: 211s    
step 00669 (29.8%) | loss: 2.777100 | lrm: 1.00 | dt: 136ms | tok/sec: 482,830 | mfu: 23.0% | epoch: 2 | remaining: 210s    
step 00670 (29.8%) | loss: 2.777814 | lrm: 1.00 | dt: 136ms | tok/sec: 482,108 | mfu: 23.0% | epoch: 2 | remaining: 210s    
step 00671 (29.9%) | loss: 2.778184 | lrm: 1.00 | dt: 136ms | tok/sec: 482,737 | mfu: 23.0% | epoch: 2 | remaining: 210s    
step 00672 (29.9%) | loss: 2.777920 | lrm: 1.00 | dt: 136ms | tok/sec: 481,771 | mfu: 22.9% | epoch: 2 | remaining: 210s    
step 00673 (30.0%) | loss: 2.776916 | lrm: 1.00 | dt: 136ms | tok/sec: 482,696 | mfu: 23.0% | epoch: 2 | remaining: 210s    
step 00674 (30.0%) | loss: 2.779402 | lrm: 1.00 | dt: 136ms | tok/sec: 482,114 | mfu: 23.0% | epoch: 2 | remaining: 210s    
step 00675 (30.1%) | loss: 2.780283 | lrm: 1.00 | dt: 136ms | tok/sec: 482,746 | mfu: 23.0% | epoch: 2 | remaining: 210s    
step 00676 (30.1%) | loss: 2.779762 | lrm: 1.00 | dt: 136ms | tok/sec: 482,254 | mfu: 23.0% | epoch: 2 | remaining: 210s    
step 00677 (30.2%) | loss: 2.780322 | lrm: 1.00 | dt: 136ms | tok/sec: 482,696 | mfu: 23.0% | epoch: 2 | remaining: 209s    
step 00678 (30.2%) | loss: 2.782477 | lrm: 1.00 | dt: 136ms | tok/sec: 481,929 | mfu: 22.9% | epoch: 2 | remaining: 209s    
step 00679 (30.3%) | loss: 2.782664 | lrm: 1.00 | dt: 136ms | tok/sec: 482,683 | mfu: 23.0% | epoch: 2 | remaining: 209s    
step 00680 (30.3%) | loss: 2.779898 | lrm: 1.00 | dt: 136ms | tok/sec: 482,334 | mfu: 23.0% | epoch: 2 | remaining: 209s    
step 00681 (30.3%) | loss: 2.780278 | lrm: 1.00 | dt: 136ms | tok/sec: 482,866 | mfu: 23.0% | epoch: 2 | remaining: 209s    
step 00682 (30.4%) | loss: 2.776836 | lrm: 1.00 | dt: 136ms | tok/sec: 482,037 | mfu: 23.0% | epoch: 2 | remaining: 209s    
step 00683 (30.4%) | loss: 2.776116 | lrm: 1.00 | dt: 136ms | tok/sec: 482,718 | mfu: 23.0% | epoch: 2 | remaining: 209s    
step 00684 (30.5%) | loss: 2.775725 | lrm: 1.00 | dt: 136ms | tok/sec: 482,423 | mfu: 23.0% | epoch: 2 | remaining: 208s    
step 00685 (30.5%) | loss: 2.776519 | lrm: 1.00 | dt: 136ms | tok/sec: 482,484 | mfu: 23.0% | epoch: 2 | remaining: 208s    
step 00686 (30.6%) | loss: 2.776592 | lrm: 1.00 | dt: 136ms | tok/sec: 482,331 | mfu: 23.0% | epoch: 2 | remaining: 208s    
step 00687 (30.6%) | loss: 2.776485 | lrm: 1.00 | dt: 136ms | tok/sec: 482,542 | mfu: 23.0% | epoch: 2 | remaining: 208s    
step 00688 (30.7%) | loss: 2.775190 | lrm: 1.00 | dt: 136ms | tok/sec: 482,184 | mfu: 23.0% | epoch: 2 | remaining: 208s    
step 00689 (30.7%) | loss: 2.775720 | lrm: 1.00 | dt: 136ms | tok/sec: 482,621 | mfu: 23.0% | epoch: 2 | remaining: 208s    
step 00690 (30.7%) | loss: 2.776090 | lrm: 1.00 | dt: 136ms | tok/sec: 482,268 | mfu: 23.0% | epoch: 2 | remaining: 208s    
step 00691 (30.8%) | loss: 2.774758 | lrm: 1.00 | dt: 136ms | tok/sec: 482,800 | mfu: 23.0% | epoch: 2 | remaining: 207s    
step 00692 (30.8%) | loss: 2.775253 | lrm: 1.00 | dt: 136ms | tok/sec: 482,232 | mfu: 23.0% | epoch: 2 | remaining: 207s    
step 00693 (30.9%) | loss: 2.773817 | lrm: 1.00 | dt: 136ms | tok/sec: 482,833 | mfu: 23.0% | epoch: 2 | remaining: 207s    
step 00694 (30.9%) | loss: 2.774633 | lrm: 1.00 | dt: 136ms | tok/sec: 482,142 | mfu: 23.0% | epoch: 2 | remaining: 207s    
step 00695 (31.0%) | loss: 2.774147 | lrm: 1.00 | dt: 136ms | tok/sec: 482,801 | mfu: 23.0% | epoch: 2 | remaining: 207s    
step 00696 (31.0%) | loss: 2.774527 | lrm: 1.00 | dt: 136ms | tok/sec: 482,102 | mfu: 23.0% | epoch: 2 | remaining: 207s    
step 00697 (31.1%) | loss: 2.775010 | lrm: 1.00 | dt: 136ms | tok/sec: 482,674 | mfu: 23.0% | epoch: 2 | remaining: 207s    
step 00698 (31.1%) | loss: 2.774833 | lrm: 1.00 | dt: 136ms | tok/sec: 482,373 | mfu: 23.0% | epoch: 2 | remaining: 207s    
step 00699 (31.2%) | loss: 2.775691 | lrm: 1.00 | dt: 136ms | tok/sec: 482,641 | mfu: 23.0% | epoch: 2 | remaining: 206s    
step 00700 (31.2%) | loss: 2.776226 | lrm: 1.00 | dt: 136ms | tok/sec: 481,868 | mfu: 22.9% | epoch: 2 | remaining: 206s    
step 00701 (31.2%) | loss: 2.777461 | lrm: 1.00 | dt: 136ms | tok/sec: 482,784 | mfu: 23.0% | epoch: 2 | remaining: 206s    
step 00702 (31.3%) | loss: 2.779510 | lrm: 1.00 | dt: 136ms | tok/sec: 482,055 | mfu: 23.0% | epoch: 2 | remaining: 206s    
step 00703 (31.3%) | loss: 2.780497 | lrm: 1.00 | dt: 136ms | tok/sec: 482,890 | mfu: 23.0% | epoch: 2 | remaining: 206s    
step 00704 (31.4%) | loss: 2.780591 | lrm: 1.00 | dt: 136ms | tok/sec: 481,966 | mfu: 23.0% | epoch: 2 | remaining: 206s    
step 00705 (31.4%) | loss: 2.779504 | lrm: 1.00 | dt: 136ms | tok/sec: 482,685 | mfu: 23.0% | epoch: 2 | remaining: 206s    
step 00706 (31.5%) | loss: 2.779911 | lrm: 1.00 | dt: 136ms | tok/sec: 481,510 | mfu: 22.9% | epoch: 2 | remaining: 205s    
step 00707 (31.5%) | loss: 2.779499 | lrm: 1.00 | dt: 136ms | tok/sec: 482,577 | mfu: 23.0% | epoch: 2 | remaining: 205s    
step 00708 (31.6%) | loss: 2.780431 | lrm: 1.00 | dt: 136ms | tok/sec: 481,986 | mfu: 23.0% | epoch: 2 | remaining: 205s    
step 00709 (31.6%) | loss: 2.781609 | lrm: 1.00 | dt: 136ms | tok/sec: 482,553 | mfu: 23.0% | epoch: 2 | remaining: 205s    
step 00710 (31.7%) | loss: 2.776170 | lrm: 1.00 | dt: 136ms | tok/sec: 482,088 | mfu: 23.0% | epoch: 2 | remaining: 205s    
step 00711 (31.7%) | loss: 2.776430 | lrm: 1.00 | dt: 136ms | tok/sec: 482,814 | mfu: 23.0% | epoch: 2 | remaining: 205s    
step 00712 (31.7%) | loss: 2.776131 | lrm: 1.00 | dt: 136ms | tok/sec: 482,259 | mfu: 23.0% | epoch: 2 | remaining: 205s    
step 00713 (31.8%) | loss: 2.778326 | lrm: 1.00 | dt: 136ms | tok/sec: 482,755 | mfu: 23.0% | epoch: 2 | remaining: 204s    
step 00714 (31.8%) | loss: 2.778055 | lrm: 1.00 | dt: 136ms | tok/sec: 481,941 | mfu: 22.9% | epoch: 2 | remaining: 204s    
step 00715 (31.9%) | loss: 2.777838 | lrm: 1.00 | dt: 136ms | tok/sec: 482,734 | mfu: 23.0% | epoch: 2 | remaining: 204s    
step 00716 (31.9%) | loss: 2.777119 | lrm: 1.00 | dt: 136ms | tok/sec: 482,175 | mfu: 23.0% | epoch: 2 | remaining: 204s    
step 00717 (32.0%) | loss: 2.775306 | lrm: 1.00 | dt: 136ms | tok/sec: 482,636 | mfu: 23.0% | epoch: 2 | remaining: 204s    
step 00718 (32.0%) | loss: 2.778463 | lrm: 1.00 | dt: 136ms | tok/sec: 482,268 | mfu: 23.0% | epoch: 2 | remaining: 204s    
step 00719 (32.1%) | loss: 2.778978 | lrm: 1.00 | dt: 136ms | tok/sec: 482,884 | mfu: 23.0% | epoch: 2 | remaining: 204s    
step 00720 (32.1%) | loss: 2.779230 | lrm: 1.00 | dt: 136ms | tok/sec: 481,926 | mfu: 22.9% | epoch: 2 | remaining: 204s    
step 00721 (32.2%) | loss: 2.780210 | lrm: 1.00 | dt: 136ms | tok/sec: 482,753 | mfu: 23.0% | epoch: 2 | remaining: 203s    
step 00722 (32.2%) | loss: 2.776892 | lrm: 1.00 | dt: 136ms | tok/sec: 481,930 | mfu: 22.9% | epoch: 2 | remaining: 203s    
step 00723 (32.2%) | loss: 2.775977 | lrm: 1.00 | dt: 136ms | tok/sec: 482,733 | mfu: 23.0% | epoch: 2 | remaining: 203s    
step 00724 (32.3%) | loss: 2.775714 | lrm: 1.00 | dt: 136ms | tok/sec: 481,950 | mfu: 22.9% | epoch: 2 | remaining: 203s    
step 00725 (32.3%) | loss: 2.774585 | lrm: 1.00 | dt: 136ms | tok/sec: 482,949 | mfu: 23.0% | epoch: 2 | remaining: 203s    
step 00726 (32.4%) | loss: 2.774801 | lrm: 1.00 | dt: 136ms | tok/sec: 482,354 | mfu: 23.0% | epoch: 2 | remaining: 203s    
step 00727 (32.4%) | loss: 2.774968 | lrm: 1.00 | dt: 136ms | tok/sec: 482,817 | mfu: 23.0% | epoch: 2 | remaining: 203s    
step 00728 (32.5%) | loss: 2.775934 | lrm: 1.00 | dt: 136ms | tok/sec: 482,193 | mfu: 23.0% | epoch: 2 | remaining: 202s    
step 00729 (32.5%) | loss: 2.776904 | lrm: 1.00 | dt: 136ms | tok/sec: 482,643 | mfu: 23.0% | epoch: 2 | remaining: 202s    
step 00730 (32.6%) | loss: 2.777288 | lrm: 1.00 | dt: 136ms | tok/sec: 482,272 | mfu: 23.0% | epoch: 2 | remaining: 202s    
step 00731 (32.6%) | loss: 2.776809 | lrm: 1.00 | dt: 136ms | tok/sec: 483,135 | mfu: 23.0% | epoch: 2 | remaining: 202s    
step 00732 (32.7%) | loss: 2.775683 | lrm: 1.00 | dt: 136ms | tok/sec: 482,102 | mfu: 23.0% | epoch: 2 | remaining: 202s    
step 00733 (32.7%) | loss: 2.776192 | lrm: 1.00 | dt: 136ms | tok/sec: 482,530 | mfu: 23.0% | epoch: 2 | remaining: 202s    
step 00734 (32.7%) | loss: 2.777877 | lrm: 1.00 | dt: 136ms | tok/sec: 482,304 | mfu: 23.0% | epoch: 2 | remaining: 202s    
step 00735 (32.8%) | loss: 2.777363 | lrm: 1.00 | dt: 136ms | tok/sec: 482,795 | mfu: 23.0% | epoch: 2 | remaining: 202s    
step 00736 (32.8%) | loss: 2.776895 | lrm: 1.00 | dt: 136ms | tok/sec: 482,308 | mfu: 23.0% | epoch: 2 | remaining: 201s    
step 00737 (32.9%) | loss: 2.777445 | lrm: 1.00 | dt: 136ms | tok/sec: 482,826 | mfu: 23.0% | epoch: 2 | remaining: 201s    
